name;location
1 - Endrupskolen at Fredensborg (9,2);Endrupskolen
2 - Tranegårdskolen at Gentofte (9,0);Tranegårdskolen
3 - Dronninggårdskolen at Rudersdal (8,9);Dronninggårdskolen
4 - Hareskov Skole at Furesø (8,9);Hareskov Skole
5 - Den Classenske Legatskole at København (8,8);Den Classenske Legatskole
6 - Gentofte Skole at Gentofte (8,8);Gentofte Skole
7 - Skovgårdsskolen at Gentofte (8,8);Skovgårdsskolen
8 - Risskov Skole at Aarhus (8,7);Risskov Skole
9 - Kongevejens Skole at Lyngby-Taarbæk (8,7);Kongevejens Skole
10 - Skovlyskolen at Rudersdal (8,7);Skovlyskolen
11 - Gammelgaardsskolen at Aarhus (8,6);Gammelgaardsskolen
12 - Sdr.Bjert Centralskole at Kolding (8,6);Sdr.Bjert Centralskole
13 - Sankt Annæ Gymnasiums Grundskole at København (8,5);Sankt Annæ Gymnasiums Grundskole
14 - Klostermarksskolen at Roskilde (8,5);Klostermarksskolen
15 - Stjærskolen at Skanderborg (8,5);Stjærskolen
16 - Virum Skole at Lyngby-Taarbæk (8,5);Virum Skole
17 - Svenstrup Skole at Aalborg (8,5);Svenstrup Skole
18 - Østbirk Skole at Horsens (8,5);Østbirk Skole
19 - Petersmindeskolen at Vejle (8,5);Petersmindeskolen
20 - Ordrup Skole at Gentofte (8,4);Ordrup Skole
21 - Blovstrød Skole at Allerød (8,4);Blovstrød Skole
22 - Toftevangskolen at Rudersdal (8,4);Toftevangskolen
23 - Hindsholms børn & unge at Kerteminde (8,3);Hindsholms børn & unge
24 - Tallerupskolen at Assens (8,3);Tallerupskolen
25 - Virupskolen at Aarhus (8,3);Virupskolen
26 - Dybkærskolen at Silkeborg (8,3);Dybkærskolen
27 - Ny Holte Skole at Rudersdal (8,3);Ny Holte Skole
28 - Fanø Skole at Fanø (8,3);Fanø Skole
29 - Fuglsanggårdsskolen at Lyngby-Taarbæk (8,3);Fuglsanggårdsskolen
30 - Lynge Skole at Allerød (8,3);Lynge Skole
31 - Munkegårdsskolen at Gentofte (8,3);Munkegårdsskolen
32 - Skåde Skole at Aarhus (8,3);Skåde Skole
33 - Hummeltofteskolen at Lyngby-Taarbæk (8,3);Hummeltofteskolen
34 - Hunderupskolen at Odense (8,2);Hunderupskolen
35 - Hvide Sande Skole at Ringkøbing-Skjern (8,2);Hvide Sande Skole
36 - Skovshoved Skole at Gentofte (8,2);Skovshoved Skole
37 - Kragelundskolen at Aarhus (8,2);Kragelundskolen
38 - Skolen på Duevej at Frederiksberg (8,2);Skolen på Duevej
39 - Karensmindeskolen at Rebild (8,2);Karensmindeskolen
40 - Buskelundskolen at Silkeborg (8,2);Buskelundskolen
41 - Gjellerupskolen at Herning (8,2);Gjellerupskolen
42 - Englystskolen at Vejle (8,2);Englystskolen
43 - Mølleskolen at Skanderborg (8,2);Mølleskolen
44 - Kratbjergskolen at Allerød (8,2);Kratbjergskolen
45 - Vester Hassing Skole at Aalborg (8,2);Vester Hassing Skole
46 - Stolpedalsskolen at Aalborg (8,2);Stolpedalsskolen
47 - Vallerødskolen at Hørsholm (8,2);Vallerødskolen
48 - Mårslet Skole at Aarhus (8,1);Mårslet Skole
49 - Sølvgades Skole at København (8,1);Sølvgades Skole
50 - Sophienborgskolen at Hillerød (8,1);Sophienborgskolen
51 - Mejrup Skole at Holstebro (8,1);Mejrup Skole
52 - Broager Skole at Sønderborg (8,1);Broager Skole
53 - Stensballeskolen at Horsens (8,1);Stensballeskolen
54 - Bakkegårdsskolen at Gentofte (8,1);Bakkegårdsskolen
55 - Stengård Skole at Gladsaxe (8,1);Stengård Skole
56 - Sølystskolen at Aarhus (8,1);Sølystskolen
57 - Lyshøjskolen at Kolding (8,1);Lyshøjskolen
58 - Skolen ved Sundet at København (8,1);Skolen ved Sundet
59 - Rosendalskolen at Mariagerfjord (8,1);Rosendalskolen
60 - Langebjergskolen at Fredensborg (8,1);Langebjergskolen
61 - Trekronerskolen at Roskilde (8,1);Trekronerskolen
62 - Sengeløse Skole at Høje-Taastrup (8,0);Sengeløse Skole
63 - Vesterkærets Skole at Aalborg (8,0);Vesterkærets Skole
64 - Harboøre Skole og Børnecenter at Lemvig (8,0);Harboøre Skole og Børnecenter
65 - Nymarken Skole og Børnehus at Kerteminde (8,0);Nymarken Skole og Børnehus
66 - Solvangskolen at Furesø (8,0);Solvangskolen
67 - Sjælsøskolen at Rudersdal (8,0);Sjælsøskolen
68 - Dåstrup Skole at Roskilde (8,0);Dåstrup Skole
69 - Hedensted Skole at Hedensted (8,0);Hedensted Skole
70 - Trørødskolen at Rudersdal (8,0);Trørødskolen
71 - Aalykkeskolen at Kolding (8,0);Aalykkeskolen
72 - Søndersøskolen at Furesø (8,0);Søndersøskolen
73 - Himmelev Skole at Roskilde (8,0);Himmelev Skole
74 - Frederiksborg Byskole at Hillerød (8,0);Frederiksborg Byskole
75 - Præstemarkskolen at Favrskov (8,0);Præstemarkskolen
76 - St. Magleby Skole at Dragør (8,0);St. Magleby Skole
77 - Heibergskolen at København (8,0);Heibergskolen
78 - Engelsborgskolen at Lyngby-Taarbæk (8,0);Engelsborgskolen
79 - Strandskolen at Aarhus (8,0);Strandskolen
80 - Vestbjerg Skole at Aalborg (8,0);Vestbjerg Skole
81 - Øster Farimagsgades Skole at København (7,9);Øster Farimagsgades Skole
82 - Rundhøjskolen at Aarhus (7,9);Rundhøjskolen
83 - Bredsten - Gadbjerg Skole at Vejle (7,9);Bredsten - Gadbjerg Skole
84 - Bakkeskolen at Kolding (7,9);Bakkeskolen
85 - Lundtofte Skole at Lyngby-Taarbæk (7,9);Lundtofte Skole
86 - Usserød Skole at Hørsholm (7,9);Usserød Skole
87 - Vedbæk Skole at Rudersdal (7,9);Vedbæk Skole
88 - Rungsted Skole at Hørsholm (7,9);Rungsted Skole
89 - Tarup Skole at Odense (7,9);Tarup Skole
90 - Klarup Skole at Aalborg (7,9);Klarup Skole
91 - Beder Skole at Aarhus (7,9);Beder Skole
92 - Byplanvejens Skole at Aalborg (7,9);Byplanvejens Skole
93 - Auraskolen at Esbjerg (7,9);Auraskolen
94 - Dyssegårdsskolen at Gentofte (7,8);Dyssegårdsskolen
95 - Dybbøl-Skolen at Sønderborg (7,8);Dybbøl-Skolen
96 - Birkerød Skole at Rudersdal (7,8);Birkerød Skole
97 - Nordenskov-Næsbjerg Skole at Varde (7,8);Nordenskov-Næsbjerg Skole
98 - Fjordbakkeskolen at Fredericia (7,8);Fjordbakkeskolen
99 - Lisbjergskolen at Aarhus (7,8);Lisbjergskolen
100 - Humlebæk Skole at Fredensborg (7,8);Humlebæk Skole
101 - Nr Uttrup Skole at Aalborg (7,8);Nr Uttrup Skole
102 - Gl Hasseris Skole at Aalborg (7,8);Gl Hasseris Skole
103 - Hvinningdalskolen at Silkeborg (7,8);Hvinningdalskolen
104 - Ny Hollænderskolen at Frederiksberg (7,8);Ny Hollænderskolen
105 - Skægkærskolen at Silkeborg (7,8);Skægkærskolen
106 - Sejs Skole at Silkeborg (7,8);Sejs Skole
107 - Allerslev Skole at Lejre (7,8);Allerslev Skole
108 - Skødstrup Skole at Aarhus (7,8);Skødstrup Skole
109 - Aabybro Skole at Jammerbugt (7,8);Aabybro Skole
110 - Frederiksberg Skole at Sorø (7,8);Frederiksberg Skole
111 - Strandskolen at Greve (7,8);Strandskolen
112 - Nibe Skole at Aalborg (7,8);Nibe Skole
113 - Molsskolen at Syddjurs (7,8);Molsskolen
114 - Frejlev Skole at Aalborg (7,7);Frejlev Skole
115 - Øster Starup Skole at Vejle (7,7);Øster Starup Skole
116 - Lykkesgårdskolen at Varde (7,7);Lykkesgårdskolen
117 - Havrehedskolen at Nordfyn (7,7);Havrehedskolen
118 - Uglegårdsskolen at Solrød (7,7);Uglegårdsskolen
119 - Dragør Skole at Dragør (7,7);Dragør Skole
120 - Overlund Skole at Viborg (7,7);Overlund Skole
121 - Distriktsskole Smørum at Egedal (7,7);Distriktsskole Smørum
122 - Syvstjerneskolen at Furesø (7,7);Syvstjerneskolen
123 - Elsted Skole at Aarhus (7,7);Elsted Skole
124 - Sanderumskolen at Odense (7,7);Sanderumskolen
125 - Lillevang Skole at Allerød (7,7);Lillevang Skole
126 - Christianshavns Skole at København (7,7);Christianshavns Skole
127 - Absalons Skole at Roskilde (7,7);Absalons Skole
128 - Firehøjeskolen at Vejle (7,7);Firehøjeskolen
129 - Søndre Skole at Viborg (7,7);Søndre Skole
130 - Kirkebakkeskolen at Vejle (7,7);Kirkebakkeskolen
131 - Bagsværd Skole at Gladsaxe (7,7);Bagsværd Skole
132 - Vangeboskolen at Rudersdal (7,7);Vangeboskolen
133 - Nyboder Skole at København (7,7);Nyboder Skole
134 - Solbjergskolen at Aarhus (7,7);Solbjergskolen
135 - Strib Skole at Middelfart (7,7);Strib Skole
136 - Tingstrup Skole at Thisted (7,7);Tingstrup Skole
137 - Østre Skole at Thisted (7,7);Østre Skole
138 - Houlkærskolen at Viborg (7,7);Houlkærskolen
139 - Skæring Skole at Aarhus (7,7);Skæring Skole
140 - Næshøjskolen at Aarhus (7,7);Næshøjskolen
141 - Skolen på Nyelandsvej at Frederiksberg (7,6);Skolen på Nyelandsvej
142 - Malling Skole at Aarhus (7,6);Malling Skole
143 - Aulum-Hodsager Skole at Herning (7,6);Aulum-Hodsager Skole
144 - Sct. Nicolai Skole at Køge (7,6);Sct. Nicolai Skole
145 - Egeskovskolen at Viborg (7,6);Egeskovskolen
146 - Lundgårdskolen at Herning (7,6);Lundgårdskolen
147 - Særslev-Hårslev-Skolen at Nordfyn (7,6);Særslev-Hårslev-Skolen
148 - Vestre Skole at Silkeborg (7,6);Vestre Skole
149 - Tommerup Skole at Assens (7,6);Tommerup Skole
150 - Sølystskolen at Silkeborg (7,6);Sølystskolen
151 - Haldum-Hinnerup Skolen at Favrskov (7,6);Haldum-Hinnerup Skolen
152 - Sdr Vang Skole at Kolding (7,6);Sdr Vang Skole
153 - Vadgård Skole at Gladsaxe (7,6);Vadgård Skole
154 - Lystrup Skole at Aarhus (7,6);Lystrup Skole
155 - Jels Skole at Vejen (7,6);Jels Skole
156 - Eggeslevmagle Skole at Slagelse (7,6);Eggeslevmagle Skole
157 - Ellevangskolen at Aarhus (7,6);Ellevangskolen
158 - Bryrup Skole at Silkeborg (7,6);Bryrup Skole
159 - Nærum Skole at Rudersdal (7,6);Nærum Skole
160 - Munkebjergskolen at Odense (7,6);Munkebjergskolen
161 - Skolen ved Søerne at Frederiksberg (7,6);Skolen ved Søerne
162 - Skørping Skole at Rebild (7,6);Skørping Skole
163 - Hvalsø Skole at Lejre (7,6);Hvalsø Skole
164 - Tvis Skole at Holstebro (7,6);Tvis Skole
165 - Højvangskolen at Aarhus (7,6);Højvangskolen
166 - Ebberup Skole at Assens (7,6);Ebberup Skole
167 - Skolen på Sønderager at Herning (7,6);Skolen på Sønderager
168 - Tjørnegårdsskolen at Gentofte (7,6);Tjørnegårdsskolen
169 - Hørsholm Skole at Hørsholm (7,6);Hørsholm Skole
170 - Højvangskolen at Horsens (7,6);Højvangskolen
171 - Havdrup Skole at Solrød (7,6);Havdrup Skole
172 - Bjørnehøjskolen at Gribskov (7,5);Bjørnehøjskolen
173 - Søborg Skole at Gladsaxe (7,5);Søborg Skole
174 - Katrinedals Skole at København (7,5);Katrinedals Skole
175 - Mølholm Skole at Vejle (7,5);Mølholm Skole
176 - Hanebjerg Skole at Hillerød (7,5);Hanebjerg Skole
177 - Trællerupskolen at Lejre (7,5);Trællerupskolen
178 - Fredensborg Skole at Fredensborg (7,5);Fredensborg Skole
179 - Vibenshus Skole at København (7,5);Vibenshus Skole
180 - Lind Skole at Herning (7,5);Lind Skole
181 - Kornmarkskolen at Hillerød (7,5);Kornmarkskolen
182 - Grønvangskolen at Vejen (7,5);Grønvangskolen
183 - Sct. Jørgens Skole at Roskilde (7,5);Sct. Jørgens Skole
184 - Ferslev Skole at Aalborg (7,5);Ferslev Skole
185 - Bakkeskolen at Skanderborg (7,5);Bakkeskolen
186 - Espergærde Skole at Helsingør (7,5);Espergærde Skole
187 - Ulfborg Skole at Holstebro (7,5);Ulfborg Skole
188 - Marstal Skole at Ærø (7,5);Marstal Skole
189 - Bording Skole at Ikast-Brande (7,5);Bording Skole
190 - Vester Mariendal Skole at Aalborg (7,5);Vester Mariendal Skole
191 - Funder-Kragelund Skole, Silkeborg at Silkeborg (7,5);Funder-Kragelund Skole, Silkeborg
192 - Måløvhøj Skole at Ballerup (7,5);Måløvhøj Skole
193 - Hornslet Skole at Syddjurs (7,5);Hornslet Skole
194 - Langeskov Skole at Kerteminde (7,5);Langeskov Skole
195 - Løjt Kirkeby Skole at Aabenraa (7,5);Løjt Kirkeby Skole
196 - Sortedamskolen at København (7,5);Sortedamskolen
197 - Sdr Omme Skole at Billund (7,5);Sdr Omme Skole
198 - Sorø Borgerskole at Sorø (7,4);Sorø Borgerskole
